1.65KM,1
1/2MARATHON-DEMI-MARATHON,20
10.5KM,10
10.5KM-COURSE,10
100KM,40
105KM,40
10K,10
10K(HALFMARATHONERS),10
10K(MARATHONERS),10
10KCOURSE,10
10KM,10
10KM(COURSE),10
10KM-BOURRET,10
10KM-COURSE,10
10KM-PHYSIOSANTE,10
10KM-SAIL,10
10KMCHAUSSURESMILLE-PATTES,10
10KMCOURSE,10
10KMDENUIT,10
10KMDENUITVIZIBL,10
10KMDUVIGNOBLELESPETITSCAILLOUX,10
10KMMICROBRASSERIEDESBEAUXPRES,10
10KMMICROBRASSERIEDESBEAUXPRÉS,10
10KMOASIS,10
10KMOCEAN,10
10KMPATIN/SKATE,10
10KMPHYSIOSANTE,10
10KMROUTE,10
10KMRUN,10
10KMRUN/WALK,10
10KMRUNWALK,10
10KMSIMARD,10
10KMSTYLELIBRE,10
10KMWISHBONE,10
10KRUN,10
10MILES,10
110KM,40
11KM,10
125KM,40
12KM,10
12KMRAQUETTE,10
13KM,10
150KM,40
155KM,40
15KM,10
15KMCLASSIQUE,10
15KMRUN,10
16KMCLASSIQUE,10
17.5KM,10
18KM,10
19KM,10
1KCOURSE,1
1KM,1
1KM-8-9ANS,1
1KM-MAXI,1
1KM-P'TITMARATHON,1
1KMCOURSE,1
1KMMAXICIE,1
1KMNATATION,1
1KMP'TITMARATHON,1
1KMPTITMARATHON,1
1KMU6,1
2.1KM,1
2.1KMSWIM,1
2.4MILESWIM,1
20KM,20
20KMCLASSIQUE,20
20KMROUTE,20
20KMSTYLELIBRE,20
20KMTRAILRUN,20
"21,1KM",20
"21,1KMCOURSE",20
21.1K,20
21.1KM,20
21.1KMCARONETGUAY,20
21.1KMCOURSE,20
21.1KMTRAILRUN,20
21KM,20
21KM(COURSE),20
21KM-COURSE,20
21KMCOURSE,20
21KMMEDIACHALLENGE,20
21KMTRAILRUN,20
"22,2KMCHEMINDECAMPAGNE",20
22.2KM,20
22.2KMCHEMINDECAMPAGNE,20
22.5KMSTYLELIBRE,20
22KM,20
23.5KMTHENORTHFACE,20
23KM,20
23KMTRAVERSEL'ISLE-AUX-COUDRESSAINT-JOSEPH-DE-LA-RIVE,20
25KM,20
25KMCLASSIQUE,20
25KMLAVIESPORTIVE,20
25KMSKYRACE®,20
27KMCLASSIQUE,20
27KMPATIN/SKATE,20
27KMSTYLELIBRE/FREESTYLE,20
28KM,20
28KM-MOMENTUMTECHNOLOGIES,20
2KM,1
2KM(AVECPOUSETTE),1
2KM-10-11ANS,1
2KM-ENERGIECARDIO,1
2KMGROUPEINVESTOR,1
30KM,20
30KMOMACHAMPIONSHIPS,20
30KMRACE,20
30MILES,20
31CLASSIQUE,20
31KMPATIN/SKATE,20
33KM,20
35KM,20
38KMSTYLELIBRE,20
3K,5
3KM,5
"4,2KM",5
4.2KM,5
4.5KM,5
40KMCLASSIQUE,40
40KMVELODEMONTAGNE,40
42.2KM,40
42KMSOLO,40
42KMSTYLELIBRE,40
45KM,40
45KMCLASSIQUE,40
45KMSTYLELIBRE,40
47KM,40
48KMSKYRACE,40
4K,5
4KM,5
5.5KM,5
50K,40
50KM,40
50KMCLASSIQUE,40
50KMSTYLELIBRE,40
50MILES,40
5150TRIATHLON,40
51KMCLASSIQUE,40
51KMPATIN/SKATE,40
51KMSTYLELIBRE,40
51KMSTYLELIBRE/FREESTYLE,40
55KMCLASSIQUE,40
56KM,40
5I50INDIVIDUEL,5
5K,5
5KCOURSE,5
5KM,5
5KM(COURSE),5
5KM(VENDREDI),5
5KM-BUROPRO,5
5KM-CANICOURSE,5
5KM-COURSE,5
5KM-DÉFIDESENTREPRISES,5
5KM-KILLTHEHILLCHALLENGE,5
5KM-PHYSIOSANTE,5
5KMCOURSE,5
5KMCOURSE/MARCHE,5
5KMCOURSEETMARCHE,5
5KMFAMILIPRIX,5
5KMFUNNYBONE,5
5KMINDIVIDUELPARTICIPATIF,5
5KMMARCHE,5
5KMMEDIACHALLENGE,5
5KMPNEUPATRY,5
5KMPOUSSETTES,5
5KMRAQUETTE,5
5KMROUTE,5
5KMRUN,5
5KMRUN-WALK,5
5KMRUN/WALK,5
5KMRUNANDWALK,5
5KMSPORTSEXPERTS,5
5KRUN,5
5KRUN-COURSEDE5K,5
6/40/6DUATHLON,5
60KM,40
65KM,40
65KM-VALEURSMOBILIÈRESDESJARDINS,40
6KM,5
6KM-COURSEPOUSSETTE,5
6KMCHÂTEAUMONT-SAINTE-ANNE,5
6KMMUDRUNANDOBSTACLECOURSE,5
6KMOBSTACLECOURSE,5
6KMOBSTACLECOURSEANDMUDRUN,5
6KMOVERALLRESULTS,5
6KOBSTACLECOURSE,5
70.3RESULTS,40
7KMMARCHE,5
80KM,40
80KM(50MILES),40
88KM,40
8KM,5
8KM-KILLTHEHILLCHALLENGE,5
8KMRUN,5
8KMWALK/RUN,5
90KM,40
93KM,40
9KM,5
9KM-TRAIL,5
9KMTRAIL,5
AGDUATHLONSPRINT,40
AGETCFTRIATHLONSPRINT,40
AGSPRINTDUATHLON,40
AMJCAMPBELLFULLMARATHON,40
AUTOVALUEHYUNDAIHALF-MARATHONRUN,40
BARBADOS5KM,5
BARRELMANHALFIRONTRIATHLON,40
CANADADAY5K,5
CANADIAN5KMROADRACECHAMPIONSHIP,5
CANADIANSPRINTDISTANCECHAMPIONSHIPS,40
CHALLENGE,40
CHALLENGEMARATHON,40
CHALLENGEO2,1
COMBO10KMET5KM,10
COMPETITIF,40
COOPERATORS5KM,5
COUPEDESMAITRES-POURSUITEFINALE,40
COUPEDUQUEBECDUATHLONSPRINT,40
COUPEDUQUEBECTRIATHLONSPRINTELITE,40
COUPEDUQUEBECTRIATHLONSPRINTRIVIERE,40
COURE10KM,10
COURSE10KM,10
COURSE5KM,5
COURSEAPIED-10KM,10
COURSEDESJEUNESTANGUAY,40
COURTEDISTANCE-INDIVIDUEL,40
CROSS-COUNTRY-2KM,1
CROSS-COUNTRY-4KM,5
CROSS-COUNTRY-8KM,5
CROSS-COUNTRY4KM,5
CROSSCOUNTRY-4KM,5
CROSSCOUNTRY-8KM,5
CYCLOSPORTIVE105KM,40
CYCLOSPORTIVE60KM,40
DEFI50KMCOMBINEE,40
DEFIASICS10KMCOURSE,10
DEFIASICS21.1KMCOURSE,20
DEFIASICS5KMCOURSE,5
DEFICOURTEDISTANCE-SOLO,40
DEFIDESENTREPRISES,40
DEFILONGUEDISTANCE-SOLO,40
DEFISUPERSPRINT,40
DEMI-ESPRIT,40
DEMI-MARATHON,40
DEMI-MARATHON21.1KM,20
DEMI-MARATHONDUCREPUSCULE-10KM,10
DEMI-MARATHONDUCREPUSCULE-21KM(19.5KM),20
DEMI-MARATHONPODIATREELIZABETH,40
DEMIESPRIT,40
DEMIMARATHON,40
DEMIMARATHON21.1KM,20
DEMIMARATHONCOURSE,40
DEMIMARATHONMARCHE,40
DEMIMARATHONPODIATREELIZABETH,40
DUATHLON,40
DUATHLON-COMPETITIF,40
DUATHLON-COUPEDUQUEBEC,40
DUATHLONCOMPETITION,40
DUATHLONCOMPÉTITION,40
DUATHLONINDIVIDUEL,40
DUATHLONOLYMPIQUE,40
DUATHLONOLYMPIQUEINDIVIDUEL,40
DUATHLONSPRINT,40
DUATHLONSPRINTAVECSILLONNAGE,40
DUATHLONSPRINTCHAMPIONNATPROVINCIAL,40
DUATHLONSPRINTSANSSILLONNAGE,40
DÉFI12KMLECOUREURNORDIQUE,10
DÉFI18KMLECOUREURNORDIQUE,10
DÉFI6KMLECOUREURNORDIQUE,5
DÉFI9KMTRAIL+20KM,5
DÉFICORPORATIFBCF,40
DÉFICOURTEDISTANCEMERRELL-SOLO,40
DÉFIOASIS,40
ESPRIT,40
EXTREME8,5
FRIENDLYMASSEYMARATHON,40
FULLIRONMANOVERALL,40
FULLMARATHON,40
FUNNYBONERUN5K,5
GIVE-IT-A-TRI,40
GOODLIFEFITNESS10K,10
GOODLIFEFITNESS10KM,10
GORE-TEX50MILE,40
GORE-TEX80K,40
GRANDFONDOGATINEAU111.8KM,40
GRANDTRAIL,40
GRANDTRAIL-18KM,10
GRANFONDO,40
GRANFONDO-100KM,40
GRANFONDO-122KM,40
GRIMPEUR,40
GRIMPEURS,40
GROUPESD'AGES,40
GROUPESD'ÂGES,40
HALF-MARATHON,40
HALFIRON,40
HALFIRONDISTANCETRIATHLON,40
HALFIRONTRIATHLON,40
HALFMARATHON,40
HALFMARATHON-DEMIMARATHON,40
HALFMARATHONCHANGEDTO12.3K,10
HALFMARATHONRUN,40
HALFTRIATHLON,40
HTGSPORTS5K,5
INDIVIDUAL,40
INDIVIDUALRESULTS,40
INDIVIDUEL,40
INTERMEDIAIRE,40
IRON113TRIATHLON,40
IRON226DUATHLON,40
IRON226SWIMCYCLE,40
IRON226TRIATHLON,40
IRONMAN,40
IRONMAN5150-TRIATHLONOLYMPIQUE,40
IRONMAN70.3,40
IRONMAN70.3MONTERREYRESULTS,40
IRONMANLOSCABOSRESULTS,40
JACKWAHLBERG20KMCLASSIQUE,20
JANNORDSTROM10KMCLASSIQUE,10
JOHNSON5KM,5
JOUR1-20KMCLASSIQUE,1
JOUR2-22KMPATIN/STYLELIBRE,1
KING/QUEENOFTHEMOUNTAIN,40
KINGOFTHEMOUNTAIN,40
LEDEFIOASIS,40
LESUPERDEFI,40
LONGCOURSE,40
LONGCOURSEDUATHLON,40
LONGCOURSETRIATHLON,40
LONGDUATHLON,40
LONGTRIATHLON,40
LONGTRIATHON,40
LONGUEDISTANCE-INDIVIDUEL,40
LOWERTOWNBREWERYOTTAWA10K,10
MARATHON,40
MARATHONBEAUCERON,40
MEDIOFONDO,40
MEDIOFONDOGATINEAU69KM,40
MEILLEURGRIMPEUR,40
MERCEDES-BENZOAKVILLE10K,10
MINITRIATHLON,40
MINTOCHAPMANMILLS10KM,10
MNP10KMRUN,10
NAGE2KM,1
NAGE5KM,5
NAGEVELOINITIATION,40
NUTRIENCEHALFMARATHON,40
NUTRIENCEHALFMARATHONRUN,40
OLYMPIC,40
OLYMPICDISTANCETRIATHLON,40
OLYMPICDUATHLON,40
OLYMPICTRIATHLON,40
OTTAWA10K,10
OTTAWA2K,1
OTTAWA5K,5
OTTAWAHALF-MARATHON-DEMI-MARATHON,40
OTTAWAHALFMARATHON,40
OTTAWAMARATHON,40
OTTAWAMARATHON-SHORTENEDRACE,40
OVERALL,40
OVERALL70.3,40
OVERALLRESULTS,40
OVERALLRESULTS-FULL140.6DISTANCE,40
OVERALLRESULTS-SHORTENEDRACE,40
P'TITMARATHON1KMTEL-JEUNES,1
PATIN-MARATHON25KM,20
PENTATHLONVOLETINDIVIDUEL-COURTEDISTANCE,40
PENTATHLONVOLETINDIVIDUEL-LONGDISTANCE,40
PENTATHLONVOLETINDIVIDUEL-SHORTDISTANCE,40
PETITTRAILOASIS-8KM,5
PICCOLOFONDO(80KM),40
PICCOLOFONDO108KM,40
QCDUATHLONOLYMPIQUE,40
QCETCFNCTRIATHLONOLYMPIQUE,40
RE/MAXQUNITEHALFMARATHON,40
RECHARGEWITHMILKHALFMARATHON,40
RECHARGEWITHMILKHALFMARATHONRUN,40
RESULTATS,40
RUNNINGROOM21.1KRUN,20
SASKATCHEWANCREDITUNIONS42.2KRUN,40
SCOTIABANKFULLMARATHON,40
SCOTIABANKOTTAWAHALFMARATHON,40
SCOTIABANKOTTAWAMARATHON,40
SENIORMEN3,5
SHORTCOURSE,40
SHORTCOURSE-BYPREDICTION,40
SHORTCOURSE-BYTIME,40
SHORTCOURSEDUATHLON,40
SHORTDUATHLON,40
SISKINDSHALFMARATHONRUN,40
SKIATHLON-2X6KMSOLO,1
SMITH-JOHANNSEN33KMCLASSIQUE,20
SPRINT,40
SPRINTDUATHLON,40
SPRINTEUR,40
SPRINTEURS,40
SPRINTINDIVIDUEL,40
SPRINTMAN(20TOPHOMMESET20TOPFEMMES),20
SPRINTTRIATHLON,40
STANDARDDISTANCECHAMPIONSHIPS,40
SUPERDÉFI,40
SUPERSPRINTTRIATHLON,40
SWIMRUNSTANDARD,40
THECANADIANEVENINGHALF-MARATHON,40
THECANADIANIRON113TRIATHLON,40
THECANADIANIRON226TRIATHLON,40
THECANADIANOLYMPICTRIATHLON,40
THECANADIANSPRINTTRIATHLON,40
TIMBERMANSPRINTTRIATHLON,40
TINMANTRIATHLON,40
TRAILRUN10KM,10
TRANS-EXPRESS,40
TRANS-VALLEE,40
TRANSEXPRESS,40
TRANSVALLEE,40
TRAVERSEELACDESSABLES-5KM,5
TRI-NEO,40
TRIAHTLON,40
TRIATHLON,40
TRIATHLON-SPRINT,40
TRIATHLON1/2LONGUEDISTANCE,20
TRIATHLON105-40-10,40
TRIATHLON16+,10
TRIATHLON60-40-5,40
TRIATHLONASSOCIATIONPULMONAIRE,40
TRIATHLOND'HIVER,40
TRIATHLOND'HIVER-GROUPESD'ÂGES,40
TRIATHLOND'HIVERSPRINT,40
TRIATHLOND3COUVERTE,5
TRIATHLONDEMI-ESPRIT,40
TRIATHLONDEMIIRONMAN,40
TRIATHLONDEMILONGUEDISTANCECHAMPIONNATPROVINCIAL,40
TRIATHLONENDURANCEAVENTUREOFFSHORE,40
TRIATHLONENDURANCEAVENTURESPRINT,40
TRIATHLONFORMATCLASSIQUE,40
TRIATHLONFORMATITU,40
TRIATHLONGROUPED'AGE,40
TRIATHLONINITIATION,40
TRIATHLONINITIATION-10-99ANS,10
TRIATHLONLONGUEDISTANCE,40
TRIATHLONNORDIQUECOMPETITIFINDIVIDUEL,40
TRIATHLONNORDIQUEINDIVIDUEL,40
TRIATHLONO2,1
TRIATHLONOLYMPIQUE,40
TRIATHLONOLYMPIQUE-CHAMPIONNATPROVINCIAL,40
TRIATHLONOLYMPIQUE-COUPEQUÉBEC,40
TRIATHLONOLYMPIQUE-OUVERT,40
TRIATHLONOLYMPIQUE-WETSUIT,40
TRIATHLONOLYMPIQUEINDIVIDUEL,40
TRIATHLONOLYMPIQUEQUALIFICATIONMONDIAUX2017,40
TRIATHLONSPRINT,40
TRIATHLONSPRINT-COUPEDUQUÉBEC,40
TRIATHLONSPRINT-COUPEDUQUÉBECETFORCESCANADIENNES,40
TRIATHLONSPRINT-GRANDPRIX,40
TRIATHLONSPRINT-GRANDPRIXCHAMPIONNATPROVINCIAL,40
TRIATHLONSPRINT-OUVERT,40
TRIATHLONSPRINT-SANSSILLONNAGE,40
TRIATHLONSPRINT-SILLONNAGE,40
TRIATHLONSPRINTAGCOUPEDUQUÉBEC,40
TRIATHLONSPRINTAGOUVERT,40
TRIATHLONSPRINTOUVERT,40
TRIATHLONSPRINTÉLITES,40
TRIATHLONSÉRIEGRANDPRIX-DEMI-FINALE,40
TRIATHLONSÉRIEGRANDPRIX-FINALEA,40
TRIATHLONSÉRIEGRANDPRIX-FINALEB,40
TRY-A-TRI(TRIATHLONINITIATION),40
TRYATRI,40
TURKEYCHALLENGE,40
UPS10KM,10
UTHC10,10
UTHC125,40
UTHC28,20
UTHC65,40
UTHC80,40
VITTORIATRATTORIAHALFMARATHON,40
WINTERLUDETRIATHLON,40
WISHBONERACE10K,10
XTERRACOURT,40
XTERRALONG,40
